AltAGL,Time,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,amp2,BaroA,COM1,COM2,CRS,E1 CHT Variance,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
0,0,935.7,749.1,837,1,2.3,0.3,30.09,118.4,119.4,356.7,15.51,167.36,169.79,177.93,182.87,90.07,1131.39,1043.62,1041.32,1060.68,2.16,60.33,69.44,1018,20.39,20.3,0,3704,NaN,177.1,14,11,0,0.02,47.9478722,-97.171814,3.1,0,18.8,1.54,-0.47,0,40.69,266.9,27.8,27.7,13,15.59,0,NaN,NaN,NaN,NaN
0,1,936.7,749.1,836.9,0.6,1.9,0.2,30.09,118.4,119.4,356.7,15.53,167.98,170.38,178.57,183.51,89.2,1130.21,1043.68,1041.01,1061.03,2.11,60.3,69.5,1016,20.39,20.3,0,3704,NaN,177.1,14,11,0,0,47.9478722,-97.171814,3.1,0.03,18.8,1.53,-0.45,0,40.69,266.9,27.7,27.7,13,25.24,0,NaN,NaN,NaN,NaN
0,2,936.7,749.1,836.9,-0.6,2,0.2,30.09,118.4,119.4,356.7,15.51,168.61,170.93,179.13,184.12,87.13,1127.87,1044.11,1040.74,1061.06,2.17,60.32,69.55,1018,20.39,20.3,0,3704,NaN,177.1,14,11,0,0.02,47.9478722,-97.171814,3.1,-0.02,18.8,1.47,-0.42,0,40.69,266.9,27.7,27.7,14,16.63,0,NaN,NaN,NaN,NaN
0,3,936.7,748.8,836.7,-0.4,1.5,0.1,30.09,118.4,119.4,356.7,15.47,169.1,171.44,179.66,184.57,87.91,1128.49,1043.95,1040.58,1060.7,2.1,60.2,69.6,1013.3,20.37,20.3,0,3704,NaN,177.1,14,11,0,0.01,47.9478683,-97.171814,3.1,0,18.8,1.51,-0.44,0,40.67,266.9,27.7,27.7,14,1.37,0,NaN,NaN,NaN,NaN
1,4,936.7,749.2,837.1,-0.2,1.5,0.1,30.09,118.4,119.4,356.7,15.51,169.8,172.09,180.34,185.31,87.9,1128.73,1045.33,1040.83,1060.23,2.17,60.27,69.66,1017.3,20.37,20.3,0,3704,NaN,177.1,14,11,0,0,47.9478683,-97.171814,3.1,0.01,18.8,1.51,-0.43,0,40.67,266.9,27.7,27.7,14,0.04,15.7,NaN,NaN,NaN,NaN
0,5,936.7,748.6,836.5,-1,2.6,0.3,30.09,118.4,119.4,356.7,15.52,170.44,172.71,180.95,185.96,87.16,1127.58,1045.86,1040.42,1059.34,2.15,60.3,69.71,1016.8,20.39,20.32,0,3704,NaN,177,14,11,0,0.02,47.9478683,-97.171814,3.1,0,18.8,1.48,-0.45,0,40.71,266.9,27.9,27.9,13,0,0,NaN,NaN,NaN,NaN
0,6,936.7,748.5,836.3,-1.3,2.6,0.2,30.09,118.4,119.4,356.7,15.46,171.07,173.29,181.56,186.53,85.34,1126.04,1045.72,1040.7,1059.19,2.14,60.31,69.76,1019.9,20.39,20.32,0,3704,NaN,177,14,11,0,0.01,47.9478683,-97.171814,3.1,0.01,18.8,1.52,-0.49,0,40.71,266.9,27.9,27.8,13,0,0,NaN,NaN,NaN,NaN
0,7,936.7,748.4,836.3,-1.1,2.7,0.2,30.09,118.4,119.4,356.7,15.47,171.66,173.85,182.14,187.13,85.37,1125.93,1044.52,1040.56,1058.78,2.21,60.28,69.82,1016.3,20.39,20.35,0,3704,NaN,177.1,14,11,0,0.02,47.9478683,-97.171814,3.1,0,18.8,1.52,-0.46,0,40.74,266.9,27.9,27.9,13,0,0,NaN,NaN,NaN,NaN
0,8,936.7,748.4,836.2,-0.3,2.7,0.2,30.09,118.4,119.4,356.7,15.47,172.25,174.4,182.72,187.72,86.83,1126.97,1044.72,1040.14,1058.05,2.15,60.23,69.87,1017.5,20.39,20.37,0,3704,NaN,177,14.5,11,0,0,47.9478683,-97.171814,3.1,-0.01,18.8,1.51,-0.48,0,40.76,266.9,27.9,27.9,14,0,0,NaN,NaN,NaN,NaN
0,9,935.7,749,836.8,-0.2,2.7,0.2,30.09,118.4,119.4,356.7,15.45,172.86,174.98,183.3,188.31,87.12,1126.82,1045.76,1039.7,1057.34,2.17,60.32,69.93,1020.1,20.39,20.42,0,3704,NaN,177.1,14,11,0,0.03,47.9478683,-97.171814,3.1,0,18.8,1.52,-0.44,0,40.81,266.9,27.9,27.9,14,-5.95,0,NaN,NaN,NaN,NaN
1,10,935.7,750,837.8,0.8,2.6,0.2,30.09,118.4,119.4,356.7,15.49,173.47,175.54,183.87,188.96,88.83,1128.44,1046.99,1039.61,1056.64,2.15,60.07,69.98,1010.9,20.39,20.44,0,3704,NaN,177,14,11,0,-0.02,47.9478683,-97.171814,3.1,-0.01,18.8,1.55,-0.44,0,40.83,266.9,27.9,27.9,13,-2.93,0,NaN,NaN,NaN,NaN
1,11,935.7,750.1,837.9,1,2.6,0.2,30.09,118.4,119.4,356.7,15.44,174.04,176.06,184.44,189.48,93.9,1132.9,1047.47,1039,1056.18,2.11,60.18,70.03,1012.8,20.37,20.49,0,3704,NaN,177,14,11,0,0.02,47.9478683,-97.171814,3.1,-0.02,18.5,1.52,-0.44,0,40.86,266.9,27.9,27.9,13,-3.6,0,NaN,NaN,NaN,NaN
2,12,936.7,750.2,838.1,1.2,2.5,0.2,30.09,118.4,119.4,356.7,15.5,174.61,176.64,185.01,190.11,95.41,1134.57,1046.27,1039.16,1056.22,2.18,60.06,70.09,1011.7,20.37,20.49,0,3704,NaN,177,14,11,0,0.01,47.9478683,-97.171814,3.1,-0.01,18.5,1.52,-0.45,0,40.86,266.9,27.9,27.9,13,7.44,0,NaN,NaN,NaN,NaN
