AltAGL,Time,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,COM1,COM2,CRS,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
0,0,835.6,747.2,835,-0.3,4.3,120.55,119.4,270,1082.49,1031.61,1058.06,1050.2,2.55,55.32,141.43,1083.1,23.61,16.91,0,3704,NaN,358.5,43,32,0,-0.05,47.9479561,-97.1718979,3.1,-0.02,26.2,2.49,1.1,0,40.52,266.5,28,44,-16.12,0,NaN,NaN,NaN,NaN
0,1,835.6,747.5,835.3,-0.1,4.2,120.55,119.4,270,1083.5,1032.36,1057.23,1051.23,2.57,55.27,141.39,1079.8,23.62,16.9,0,3704,NaN,358.5,43,32,0,-0.02,47.9479561,-97.1718979,3.1,-0.03,26.2,2.48,1.1,0,40.52,266.5,28,44,-16,3.9,NaN,NaN,NaN,NaN
0,2,835.6,747.8,835.6,0.2,4.1,120.55,119.4,270,1081.36,1032.64,1058.01,1049.82,2.56,55.38,141.33,1087,23.57,16.92,0,3704,NaN,358.5,43,32,0,-0.04,47.9479561,-97.1718979,3.1,-0.04,26.2,2.49,1.1,0,40.49,266.5,28,44,-1.58,3.9,NaN,NaN,NaN,NaN
0,3,835.6,748.1,835.9,1.1,4.1,120.55,119.4,270,1080.57,1031.84,1058.43,1049.03,2.54,55.49,141.29,1089.5,23.59,16.94,0,3704,NaN,358.5,43,32,0,-0.01,47.9479561,-97.1718979,3.1,-0.05,26.2,2.46,1.12,0,40.53,266.5,28,44,-0.05,3.9,NaN,NaN,NaN,NaN
5,4,835.6,753.4,841.2,5.9,4.1,120.55,119.4,270,1079.87,1031.57,1057.25,1049.91,2.56,55.48,141.26,1088.7,23.61,16.93,0,3704,NaN,358.5,112,24,0,-0.02,47.9479523,-97.1718903,3.1,-0.01,26.2,2.46,1.12,0,40.54,266.5,28,30,0,0,NaN,NaN,NaN,NaN
6,5,835.6,754.5,842.3,7,4.1,120.55,119.4,270,1077.55,1031.21,1056.41,1049.66,2.55,55.42,141.23,1084.7,23.6,16.94,0,3704,NaN,358.5,111.5,24,0,-0.02,47.9479523,-97.1718903,3.1,0.01,26.2,2.48,1.15,0,40.54,266.5,28,30,0,0,NaN,NaN,NaN,NaN
6,6,835.6,754.4,842.2,7.6,4.1,120.55,119.4,270,1075.61,1030.8,1055.16,1049.91,2.56,55.38,141.19,1086.9,23.6,16.94,0,3704,NaN,358.5,109.5,24,0,-0.01,47.9479523,-97.1718903,3.1,0.07,26.2,2.49,1.15,0,40.54,266.5,28,30,-9.92,0,NaN,NaN,NaN,NaN
5,7,835.6,753.8,841.6,7,4.2,120.55,119.4,270,1074.35,1031.05,1053.23,1051.87,2.53,55.31,141.15,1084.1,23.59,16.93,0,3704,NaN,358.6,109.5,24,0,-0.01,47.9479446,-97.1718903,3.1,0.01,26.2,2.5,1.16,0,40.52,266.5,28,30,-15.75,0,NaN,NaN,NaN,NaN
5,8,835.6,753.9,841.7,7.1,4.3,120.55,119.4,270,1074.77,1031.39,1053.47,1053.73,2.53,55.29,141.13,1084,23.58,16.91,0,3704,NaN,358.6,110,24,0,-0.01,47.9479446,-97.1718903,3.1,0,26.2,2.5,1.18,0,40.49,266.5,28,30,-15.99,0,NaN,NaN,NaN,NaN
5,9,835.6,754,841.8,6.7,4.2,120.55,119.4,270,1074.24,1031.13,1054.12,1054.47,2.55,55.32,141.07,1086.9,23.59,16.92,0,3704,NaN,358.6,110.5,24,0,0,47.9479446,-97.1718903,3.1,0.01,26.2,2.49,1.19,0,40.51,266.5,28,30,-16,0,NaN,NaN,NaN,NaN
5,10,834.6,754,841.8,6.8,4.1,120.55,119.4,270,1074.3,1032.21,1055.05,1054.87,2.57,55.34,141.02,1084.8,23.61,16.92,0,3704,NaN,358.6,111,24,0,-0.03,47.9479446,-97.1718903,3.1,-0.02,26.2,2.47,1.18,0,40.53,266.5,28,30,-15.39,0,NaN,NaN,NaN,NaN
4,11,835.6,752.9,840.7,5.4,4.1,120.55,119.4,270,1074.55,1032.76,1055.73,1054.77,2.55,55.32,140.99,1084.5,23.57,16.92,0,3704,NaN,358.6,110.5,24,0,-0.04,47.9479446,-97.1718903,3.1,0,26.2,2.48,1.2,0,40.49,266.5,28,30,-3.56,0,NaN,NaN,NaN,NaN
5,12,835.6,753.5,841.3,5.7,3.9,120.55,119.4,270,1072.59,1033.37,1057.95,1054.25,2.56,55.32,140.93,1082.9,23.58,16.91,0,3704,NaN,358.6,108.5,24,0,-0.02,47.9479446,-97.1718903,3.1,-0.01,26.2,2.49,1.2,0,40.49,266.5,28,30,-0.18,0,NaN,NaN,NaN,NaN
6,13,835.6,754.5,842.4,6.5,4.1,120.55,119.4,270,1072.18,1034.76,1058.02,1053.29,2.57,55.33,140.89,1086.1,23.56,16.93,0,3704,NaN,358.6,108.5,24,0,-0.02,47.9479523,-97.1718903,3.1,0,26.2,2.52,1.2,0,40.49,266.5,28,30,-0.01,0,NaN,NaN,NaN,NaN
6,14,835.6,754.6,842.4,1.2,4.1,120.55,119.4,270,1073.82,1035.3,1058.43,1052,2.54,55.37,140.84,1086.2,23.56,16.93,0,3704,NaN,358.6,108.5,24,0,-0.02,47.9479523,-97.1718903,3.1,-0.02,26.2,2.53,1.21,0,40.49,266.5,28,30,0,0,NaN,NaN,NaN,NaN
6,15,835.6,754.6,842.4,0.1,4,120.55,119.4,270,1078.72,1035.59,1059.75,1049.63,2.55,55.41,140.82,1088.1,23.58,16.93,0,3704,NaN,358.6,109,24,0,-0.04,47.9479523,-97.1718903,3.1,0,26.2,2.53,1.2,0,40.51,266.5,28,30,0,0,NaN,NaN,NaN,NaN
6,16,835.6,754.9,842.7,0.5,4,120.55,119.4,270,1081.85,1037.69,1062.78,1048.76,2.54,55.44,140.78,1087.7,23.62,16.91,0,3704,NaN,358.6,110,24,0,0,47.9479523,-97.1718903,3.1,-0.04,26.2,2.52,1.22,0,40.53,266.5,28,30,0,0,NaN,NaN,NaN,NaN
7,17,835.6,755.9,843.7,2.1,4,120.55,119.4,270,1081.53,1038.25,1064.49,1050.75,2.55,55.36,140.72,1084.4,23.63,16.91,0,3704,NaN,358.6,109.5,24,0,-0.03,47.9479523,-97.1718903,3.1,0.02,26.2,2.54,1.2,0,40.54,266.5,28,30,-9.92,0,NaN,NaN,NaN,NaN
7,18,834.6,755.8,843.6,1.9,3.8,120.55,119.4,270,1080.81,1038.63,1063.19,1052.31,2.53,55.36,140.68,1083.9,23.63,16.92,0,3704,NaN,358.6,107.5,24,0,0,47.9479446,-97.1718903,3.1,0.06,26.2,2.55,1.22,0,40.55,266.5,28,30,-15.75,0,NaN,NaN,NaN,NaN
5,19,834.6,754,841.8,0,3.9,120.55,119.4,270,1080.77,1038.77,1062.11,1053.69,2.54,55.27,140.63,1080.3,23.62,16.91,0,3704,NaN,358.5,107.5,23,0,-0.03,47.9479446,-97.1718903,3.1,-0.02,26.2,2.53,1.21,0,40.53,266.5,28,29,-15.99,0,NaN,NaN,NaN,NaN
