 number of rows in CSV file are 6015
Enter phase type 1 for standing phase  and type 2 to identify Transition from taxi to takeoff phase  
 3 for Initial Climb phase and 4 for Enroute phase 
k is  1059 height is 1003.0
current altitude is 1003.0 at timestamp 1059 prevaltitude is 0.0
current altitude is 1021.0 at timestamp 1060 prevaltitude is 1003.0
current altitude is 1040.0 at timestamp 1061 prevaltitude is 1021.0
current altitude is 1058.0 at timestamp 1062 prevaltitude is 1040.0
current altitude is 1075.0 at timestamp 1063 prevaltitude is 1058.0
current altitude is 1090.0 at timestamp 1064 prevaltitude is 1075.0
current altitude is 1102.0 at timestamp 1065 prevaltitude is 1090.0
current altitude is 1111.0 at timestamp 1066 prevaltitude is 1102.0
current altitude is 1122.0 at timestamp 1067 prevaltitude is 1111.0
current altitude is 1129.0 at timestamp 1068 prevaltitude is 1122.0
current altitude is 1136.0 at timestamp 1069 prevaltitude is 1129.0
current altitude is 1143.0 at timestamp 1070 prevaltitude is 1136.0
current altitude is 1152.0 at timestamp 1071 prevaltitude is 1143.0
current altitude is 1162.0 at timestamp 1072 prevaltitude is 1152.0
current altitude is 1174.0 at timestamp 1073 prevaltitude is 1162.0
current altitude is 1187.0 at timestamp 1074 prevaltitude is 1174.0
current altitude is 1200.0 at timestamp 1075 prevaltitude is 1187.0
current altitude is 1214.0 at timestamp 1076 prevaltitude is 1200.0
current altitude is 1225.0 at timestamp 1077 prevaltitude is 1214.0
current altitude is 1237.0 at timestamp 1078 prevaltitude is 1225.0
current altitude is 1247.0 at timestamp 1079 prevaltitude is 1237.0
current altitude is 1256.0 at timestamp 1080 prevaltitude is 1247.0
current altitude is 1264.0 at timestamp 1081 prevaltitude is 1256.0
current altitude is 1272.0 at timestamp 1082 prevaltitude is 1264.0
current altitude is 1280.0 at timestamp 1083 prevaltitude is 1272.0
current altitude is 1288.0 at timestamp 1084 prevaltitude is 1280.0
current altitude is 1300.0 at timestamp 1085 prevaltitude is 1288.0
current altitude is 1312.0 at timestamp 1086 prevaltitude is 1300.0
current altitude is 1325.0 at timestamp 1087 prevaltitude is 1312.0
current altitude is 1339.0 at timestamp 1088 prevaltitude is 1325.0
current altitude is 1354.0 at timestamp 1089 prevaltitude is 1339.0
current altitude is 1367.0 at timestamp 1090 prevaltitude is 1354.0
current altitude is 1379.0 at timestamp 1091 prevaltitude is 1367.0
current altitude is 1391.0 at timestamp 1092 prevaltitude is 1379.0
current altitude is 1403.0 at timestamp 1093 prevaltitude is 1391.0
current altitude is 1416.0 at timestamp 1094 prevaltitude is 1403.0
current altitude is 1429.0 at timestamp 1095 prevaltitude is 1416.0
current altitude is 1441.0 at timestamp 1096 prevaltitude is 1429.0
current altitude is 1454.0 at timestamp 1097 prevaltitude is 1441.0
current altitude is 1467.0 at timestamp 1098 prevaltitude is 1454.0
current altitude is 1473.0 at timestamp 1099 prevaltitude is 1467.0
current altitude is 1480.0 at timestamp 1100 prevaltitude is 1473.0
current altitude is 1485.0 at timestamp 1101 prevaltitude is 1480.0
current altitude is 1492.0 at timestamp 1102 prevaltitude is 1485.0
current altitude is 1499.0 at timestamp 1103 prevaltitude is 1492.0
current altitude is 1505.0 at timestamp 1104 prevaltitude is 1499.0
current altitude is 1517.0 at timestamp 1105 prevaltitude is 1505.0
current altitude is 1528.0 at timestamp 1106 prevaltitude is 1517.0
current altitude is 1538.0 at timestamp 1107 prevaltitude is 1528.0
current altitude is 1549.0 at timestamp 1108 prevaltitude is 1538.0
current altitude is 1561.0 at timestamp 1109 prevaltitude is 1549.0
current altitude is 1574.0 at timestamp 1110 prevaltitude is 1561.0
current altitude is 1586.0 at timestamp 1111 prevaltitude is 1574.0
current altitude is 1599.0 at timestamp 1112 prevaltitude is 1586.0
current altitude is 1609.0 at timestamp 1113 prevaltitude is 1599.0
current altitude is 1619.0 at timestamp 1114 prevaltitude is 1609.0
current altitude is 1627.0 at timestamp 1115 prevaltitude is 1619.0
current altitude is 1637.0 at timestamp 1116 prevaltitude is 1627.0
current altitude is 1647.0 at timestamp 1117 prevaltitude is 1637.0
current altitude is 1658.0 at timestamp 1118 prevaltitude is 1647.0
current altitude is 1670.0 at timestamp 1119 prevaltitude is 1658.0
current altitude is 1683.0 at timestamp 1120 prevaltitude is 1670.0
current altitude is 1701.0 at timestamp 1121 prevaltitude is 1683.0
current altitude is 1717.0 at timestamp 1122 prevaltitude is 1701.0
current altitude is 1735.0 at timestamp 1123 prevaltitude is 1717.0
current altitude is 1752.0 at timestamp 1124 prevaltitude is 1735.0
current altitude is 1769.0 at timestamp 1125 prevaltitude is 1752.0
current altitude is 1785.0 at timestamp 1126 prevaltitude is 1769.0
current altitude is 1797.0 at timestamp 1127 prevaltitude is 1785.0
current altitude is 1808.0 at timestamp 1128 prevaltitude is 1797.0
current altitude is 1814.0 at timestamp 1129 prevaltitude is 1808.0
current altitude is 1819.0 at timestamp 1130 prevaltitude is 1814.0
current altitude is 1823.0 at timestamp 1131 prevaltitude is 1819.0
current altitude is 1827.0 at timestamp 1132 prevaltitude is 1823.0
current altitude is 1831.0 at timestamp 1133 prevaltitude is 1827.0
current altitude is 1834.0 at timestamp 1134 prevaltitude is 1831.0
current altitude is 1839.0 at timestamp 1135 prevaltitude is 1834.0
current altitude is 1844.0 at timestamp 1136 prevaltitude is 1839.0
current altitude is 1850.0 at timestamp 1137 prevaltitude is 1844.0
current altitude is 1858.0 at timestamp 1138 prevaltitude is 1850.0
current altitude is 1866.0 at timestamp 1139 prevaltitude is 1858.0
current altitude is 1878.0 at timestamp 1140 prevaltitude is 1866.0
current altitude is 1889.0 at timestamp 1141 prevaltitude is 1878.0
current altitude is 1903.0 at timestamp 1142 prevaltitude is 1889.0
current altitude is 1917.0 at timestamp 1143 prevaltitude is 1903.0
current altitude is 1931.0 at timestamp 1144 prevaltitude is 1917.0
current altitude is 1943.0 at timestamp 1145 prevaltitude is 1931.0
current altitude is 1956.0 at timestamp 1146 prevaltitude is 1943.0
current altitude is 1969.0 at timestamp 1147 prevaltitude is 1956.0
current altitude is 1981.0 at timestamp 1148 prevaltitude is 1969.0
current altitude is 1991.0 at timestamp 1149 prevaltitude is 1981.0
current altitude is 2000.0 at timestamp 1150 prevaltitude is 1991.0
current altitude is 2007.0 at timestamp 1151 prevaltitude is 2000.0
current altitude is 2016.0 at timestamp 1152 prevaltitude is 2007.0
current altitude is 2024.0 at timestamp 1153 prevaltitude is 2016.0
current altitude is 2032.0 at timestamp 1154 prevaltitude is 2024.0
current altitude is 2040.0 at timestamp 1155 prevaltitude is 2032.0
current altitude is 2049.0 at timestamp 1156 prevaltitude is 2040.0
current altitude is 2058.0 at timestamp 1157 prevaltitude is 2049.0
current altitude is 2067.0 at timestamp 1158 prevaltitude is 2058.0
current altitude is 2077.0 at timestamp 1159 prevaltitude is 2067.0
current altitude is 2087.0 at timestamp 1160 prevaltitude is 2077.0
current altitude is 2099.0 at timestamp 1161 prevaltitude is 2087.0
current altitude is 2111.0 at timestamp 1162 prevaltitude is 2099.0
current altitude is 2124.0 at timestamp 1163 prevaltitude is 2111.0
current altitude is 2138.0 at timestamp 1164 prevaltitude is 2124.0
current altitude is 2151.0 at timestamp 1165 prevaltitude is 2138.0
current altitude is 2163.0 at timestamp 1166 prevaltitude is 2151.0
current altitude is 2171.0 at timestamp 1167 prevaltitude is 2163.0
current altitude is 2178.0 at timestamp 1168 prevaltitude is 2171.0
current altitude is 2185.0 at timestamp 1169 prevaltitude is 2178.0
current altitude is 2190.0 at timestamp 1170 prevaltitude is 2185.0
current altitude is 2196.0 at timestamp 1171 prevaltitude is 2190.0
current altitude is 2202.0 at timestamp 1172 prevaltitude is 2196.0
current altitude is 2209.0 at timestamp 1173 prevaltitude is 2202.0
current altitude is 2218.0 at timestamp 1174 prevaltitude is 2209.0
current altitude is 2227.0 at timestamp 1175 prevaltitude is 2218.0
current altitude is 2239.0 at timestamp 1176 prevaltitude is 2227.0
current altitude is 2250.0 at timestamp 1177 prevaltitude is 2239.0
current altitude is 2263.0 at timestamp 1178 prevaltitude is 2250.0
current altitude is 2280.0 at timestamp 1179 prevaltitude is 2263.0
